method,seed,mae_prop,rmse_prop,mae_raw,rmse_raw
paper_mean,20260727,0.0821546961325967,0.106505401651852,3.30386740331492,5.34861989737819
paper_median,20260727,0.0807888275015347,0.104718980128508,3.25414364640884,5.27319920297481
same_subject,20260727,0.0648232921161098,0.0839186789503376,2.67403314917127,4.70922452003623
als_bias_lambda1,20260727,0.0919301938086469,0.117869729250143,3.73480662983425,6.28775886959813
als_bias_lambda3,20260727,0.0882171358414452,0.114594822205529,3.6353591160221,6.13656732738556
als_bias_lambda5,20260727,0.0868499517670789,0.113804610513552,3.58011049723757,6.05043261317981
als_bias_lambda10,20260727,0.0852508111900377,0.110220686574175,3.53038674033149,5.88048556645092
als_bias_lambda20,20260727,0.0828391651319828,0.106148210555882,3.43093922651934,5.639736681287
paper_mean,20260728,0.0944124353240375,0.119466152093677,3.75690607734807,5.64903551147846
paper_median,20260728,0.095500306936771,0.120112064564693,3.80110497237569,5.67051109976841
same_subject,20260728,0.0784653161448742,0.0996455796262672,3.04972375690608,5.11416622066556
als_bias_lambda1,20260728,0.0916473734982022,0.120101480400561,3.64088397790055,5.75417215918755
als_bias_lambda3,20260728,0.0911773217574323,0.119617927549439,3.64640883977901,5.73060023082442
als_bias_lambda5,20260728,0.0907046391300535,0.118457190448914,3.6353591160221,5.72384756428982
als_bias_lambda10,20260728,0.0895558186442164,0.116577608035724,3.60220994475138,5.62747796861905
als_bias_lambda20,20260728,0.0910277997018328,0.118006303153793,3.65745856353591,5.68413513783701
paper_mean,20260729,0.0950144698763483,0.118739655159317,3.66850828729282,5.52743034219748
paper_median,20260729,0.0941519775497676,0.118275180449721,3.61878453038674,5.4676345547512
same_subject,20260729,0.0715776550030694,0.0933765558466531,2.74033149171271,4.4560468569305
als_bias_lambda1,20260729,0.0918464439182671,0.117198001135058,3.50828729281768,5.52393086078167
als_bias_lambda3,20260729,0.0926001929316847,0.116665353303975,3.53038674033149,5.43520344275064
als_bias_lambda5,20260729,0.0925181969657108,0.115933581164282,3.51933701657459,5.39029207175126
als_bias_lambda10,20260729,0.0929215995790581,0.115779057679845,3.56906077348066,5.43672797275381
als_bias_lambda20,20260729,0.0930654213803385,0.117052870231586,3.61878453038674,5.52992861592603
paper_mean,20260730,0.0888823116723669,0.117875100611973,3.48066298342541,5.44282182257193
paper_median,20260730,0.089480838375866,0.117763795782909,3.49723756906077,5.40666664395864
same_subject,20260730,0.074894326054547,0.093259499855531,2.83977900552486,4.34938237820305
als_bias_lambda1,20260730,0.0906064193633254,0.118849416256293,3.51933701657459,5.68462110672926
als_bias_lambda3,20260730,0.0881899500131544,0.116399331050468,3.48618784530387,5.5895522112824
als_bias_lambda5,20260730,0.0876339559764974,0.116543419100822,3.48618784530387,5.59350452021625
als_bias_lambda10,20260730,0.0889529071297027,0.117845527259933,3.50828729281768,5.57074045089795
als_bias_lambda20,20260730,0.0897833903358765,0.118633547478289,3.50276243093923,5.56131070841938
paper_mean,20260731,0.0881623257037622,0.114011417404098,3.48066298342541,5.42146338117027
paper_median,20260731,0.0885951065509077,0.113803460438968,3.47513812154696,5.3851648071345
same_subject,20260731,0.0682052968517057,0.0921130813156699,2.72375690607735,4.49616165337276
als_bias_lambda1,20260731,0.0879992107340174,0.110638219731379,3.34254143646409,5.01654720463723
als_bias_lambda3,20260731,0.0878711742523897,0.1112017778499,3.34254143646409,5.06259165390056
als_bias_lambda5,20260731,0.0881851267210383,0.111148458569597,3.37016574585635,5.09359905972344
als_bias_lambda10,20260731,0.0867034990791897,0.109425663345612,3.33701657458564,5.09359905972344
als_bias_lambda20,20260731,0.0864062088923967,0.110565310464069,3.40883977900553,5.26061148053829
paper_mean,20260732,0.0842896606156275,0.106937882768014,3.07734806629834,4.46286086180414
paper_median,20260732,0.0836727177058669,0.106290767922201,3.05524861878453,4.42681432667702
same_subject,20260732,0.066279926335175,0.0848508746588589,2.50828729281768,3.89786738688553
als_bias_lambda1,20260732,0.0882061738139086,0.111453692720686,3.33701657458564,5.09251427660822
als_bias_lambda3,20260732,0.085636236078225,0.108362806657795,3.24861878453039,4.90911881235443
als_bias_lambda5,20260732,0.0847579584319916,0.106729320558895,3.19889502762431,4.80848697214893
als_bias_lambda10,20260732,0.0842778216258879,0.10659686432341,3.14917127071823,4.67389600519773
als_bias_lambda20,20260732,0.0840344646145751,0.107268102974706,3.14917127071823,4.63710711876912
paper_mean,20260733,0.0812711567131457,0.104075476427651,3.19337016574586,4.83998082275549
paper_median,20260733,0.0796965710777866,0.103198159400488,3.16574585635359,4.84967390827204
same_subject,20260733,0.0660896255371393,0.0862872583448638,2.42541436464088,3.69634730854858
als_bias_lambda1,20260733,0.0896825396825397,0.111453551120625,3.53038674033149,5.24904621696602
als_bias_lambda3,20260733,0.0867258616153644,0.109709496770646,3.41436464088398,5.13680253966334
als_bias_lambda5,20260733,0.0863606068578444,0.108831896039197,3.41436464088398,5.1152464120855
als_bias_lambda10,20260733,0.0846158905551171,0.107618461520847,3.37016574585635,5.05221356223716
als_bias_lambda20,20260733,0.081965272296764,0.105655791228987,3.28176795580111,4.96284537882691
paper_mean,20260734,0.092033236867491,0.115102242295699,3.57458563535912,5.38619065052073
paper_median,20260734,0.091471542576515,0.114817943883779,3.5414364640884,5.34086714667694
same_subject,20260734,0.0614246250986583,0.0809105465687235,2.51933701657459,4.18230949442797
als_bias_lambda1,20260734,0.0821156713145664,0.102251606956285,3.20441988950276,4.81250672669401
als_bias_lambda3,20260734,0.0826278172410769,0.103286019921482,3.24861878453039,4.84112219308683
