student_id,ENG-10,ENG-90,MAT-100,HIS-10,HIS-20,HIS-70,BIO-100,CHE-100,PHY-50,PHY-30,PHY-20,ECO-70,ECO-20,ECO-10,GEO-100,ART-30,ART-70,CSC-30,CSC-20,CSC-50,MUS-30,MUS-70,BUS-20,BUS-10,BUS-70,PSY-40,PSY-30,PSY-20,PSY-10,SOC-10,SOC-60,SOC-30,LAW-90,LAW-10,MED-100,LIN-20,LIN-40,LIN-10,LIN-30,PHI-50,PHI-20,PHI-30,POL-10,POL-40,POL-30,POL-20,STA-50,STA-30,STA-20
A0001,,,,,,,55,,35,20,13,,,,,18,39,,,,,,,,,29,22,12,5,6,39,20,,,,,,,,34,11,20,,,,,31,21,15
A0002,,,,,,,60,88,38,22,13,56,11,7,,,,21,17,40,,,,,,,,,,,,,,,,19,40,9,28,,,,,,,,,,
A0003,,,,,,,,,,,,54,13,6,,,,25,20,42,,,,,,26,22,13,7,,,,,,,,,,,35,14,18,,,,,36,23,16
A0004,,,,,,,79,,,,,43,12,5,72,,,,,,,,,,,,,,,5,38,18,,,60,,,,,,,,,,,,,,
A0005,,,,8,14,48,,,,,,,,,,,,,,,,,,,,,,,,,,,62,7,,,,,,29,15,22,,,,,,,
A0006,,,,,,,,82,,,,,,,,,,23,16,43,,,,,,,,,,7,42,23,,,71,,,,,36,12,22,,,,,,,
A0007,,,67,6,11,37,,,,,,,,,60,,,,,,23,59,,,,,,,,4,20,9,,,,,,,,,,,6,23,18,11,,,
A0008,,,,,,,,,,,,,,,,,,16,14,35,,,,,,,,,,,,,41,5,,,,,,30,13,17,,,,,,,
A0009,,,,,,,,,,,,46,12,6,,,,17,13,35,24,63,,,,,,,,,,,,,,,,,,,,,9,36,25,15,,,
A0010,,,57,7,13,55,,82,,,,44,13,7,,,,,,,,,15,8,37,,,,,,,,,,,,,,,38,18,26,,,,,22,18,13
A0011,,,76,,,,68,,,,,,,,,,,,,,,,,,,26,20,17,7,,,,,,,,,,,,,,,,,,,,
A0012,,,,,,,,,,,,,,,,,,,,,23,62,17,8,60,24,18,12,6,,,,,,,15,30,7,22,,,,,,,,,,
A0013,,,,,,,,,,,,,,,,,,,,,19,52,,,,,,,,,,,,,,,,,,,,,,,,,26,15,10
A0014,7,65,,,,,,,29,19,12,,,,,,,26,17,42,,,,,,25,19,12,6,,,,,,,,,,,,,,6,24,15,11,,,
A0015,4,42,,,,,63,62,,,,,,,76,,,,,,,,,,,,,,,6,37,19,,,,,,,,,,,,,,,,,
A0016,,,,,,,,,36,20,15,,,,,,,,,,,,,,,,,,,,,,43,6,69,,,,,26,12,13,7,27,18,15,,,
A0017,6,37,,,,,,,,,,,,,,,,,,,,,,,,24,23,16,5,7,34,20,,,,,,,,,,,,,,,,,
A0018,6,33,,,,,,,,,,,,,,,,,,,23,50,,,,18,12,8,5,,,,,,60,,,,,34,11,19,,,,,,,
A0019,7,64,64,4,7,35,,,,,,,,,,24,50,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,
A0020,,,,,,,42,,33,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,21,13
A0021,,,62,,,,78,,,,,,,,,,,,,,,,14,6,44,,,,,,,,,,,,,,,,,,,,,,23,17,10
A0022,,,,,,,,,,,,,,,,18,45,,,,,,14,8,56,,,,,5,32,18,50,6,51,,,,,41,18,25,4,17,14,11,,,
A0023,,,,7,16,46,,,,,,,,,,,,24,18,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0024,,,,,,,49,,,,,,,,54,14,31,25,16,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0025,,,,,,,,,,,,,,,70,,,24,15,38,,,14,8,46,,,,,,,,,,,,,,,,,,,,,,,,
A0026,,,60,,,,,,31,25,16,,,,,,,,,,21,47,,,,,,,,,,,66,6,79,,,,,,,,,,,,,,
A0027,,,,,,,,78,,,,,,,,,,22,14,33,,,,,,25,20,13,6,8,49,24,50,6,,,,,,,,,8,28,22,13,,,
A0028,,,,,,,,67,,,,,,,,20,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,18,12
A0029,,,52,6,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6,79,,,,,29,11,17,,,,,24,16,8
A0030,,,,,,,57,,34,22,15,,,,,,,,,,16,46,,,,,,,,,,,,,,,,,,,,,,,,,30,18,12
A0031,,,,,,,,,,,,,,,,,,,,,,,14,7,55,,,,,,,,,,64,11,27,7,21,,,,,,,,,,
A0032,,,,,,,73,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0033,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,5,32,17,,,77,,,,,,,,7,26,20,13,,,
A0034,,,,,,,,66,32,16,13,,,,,,,,,,,,12,5,37,,,,,,,,76,7,52,,,,,,,,,,,,29,17,12
A0035,5,39,,,,,62,77,,,,,,,,,,,,,,,,,,,,,,,,,49,7,,17,35,9,24,,,,,,,,,,
A0036,,,,9,16,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,18,13
A0037,7,59,69,,,,,,,,,,,,,,,,,,19,46,,,,,,,,,,,,,,,,,,,,,7,30,27,16,,,
A0038,,,,,,,,,,,,,,,,,,22,12,32,,,,,,,,,,,,,67,7,,,,,,,,,,,,,,,
A0039,,,,,,,59,,,,,52,9,6,,,,,,,,,,,,31,17,11,5,,,,,,60,,,,,,,,,,,,,,
A0040,,,,,,,,,,,,,,,42,,,,,,,,11,5,35,,,,,,,,,,,,,,,,,,,,,,24,14,10
A0041,,,,8,13,55,60,72,,,,,,,,,,20,16,28,21,46,,,,,,,,9,55,28,,,,,,,,,,,7,37,22,15,,,
A0042,,,,,,,58,,,,,,,,,18,49,,,,20,36,20,10,70,23,15,12,6,,,,,,45,,,,,,,,7,26,20,14,,,
A0043,,,90,,,,,,,,,,,,,20,45,,,,,,14,8,59,,,,,8,42,24,,,,,,,,,,,,,,,27,18,11
A0044,,,,7,13,37,,52,,,,55,14,6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0045,6,55,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,6,72,,,,,,,,,,,,,,
A0047,4,41,71,,,,,,,,,,,,,,,,,,21,55,,,,29,23,18,8,5,36,17,,,62,,,,,,,,5,24,16,12,,,
A0048,,,,,,,,,,,,,,,,,,,,,22,54,,,,,,,,6,35,19,,,,,,,,,,,,,,,,,
A0049,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,17,,,,,30,17,11
A0050,,,,,,,74,,,,,,,,74,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,
A0051,6,37,,4,10,37,,,,,,,,,,25,52,,,,,,,,,,,,,,,,,,,,,,,30,12,17,8,31,20,18,34,25,15
A0052,,,,,,,,,,,,,,,,20,41,,,,,,,,,,,,,7,38,20,54,6,52,,,,,,,,,,,,45,26,20
A0053,,,,,,,,81,46,26,17,,,,56,,,,,,,,16,8,63,21,16,10,6,,,,,,,,,,,,,,,,,,,,
A0054,,,,4,7,31,,,,,,,,,,,,22,13,37,,,9,6,34,25,21,14,7,,,,,,,18,35,8,24,,,,,,,,28,18,13
A0055,,,,8,14,49,,85,,,,,,,48,,,,,,19,49,,,,,,,,,,,65,8,48,,,,,,,,,,,,31,15,12
A0056,,,64,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,,,,,,,,,,,,,,,
A0057,,,,,,,,,38,22,13,35,12,6,,,,28,18,41,,,16,7,64,,,,,,,,,,,14,23,6,20,27,11,14,,,,,,,
A0058,4,44,,10,15,55,,,30,23,15,,,,,,,,,,,,13,7,55,,,,,6,32,19,,,,10,30,5,21,,,,,,,,23,16,8
A0059,,,,,,,,,,,,,,,53,,,17,14,34,,,,,,,,,,,,,,,,,,,,36,11,19,,,,,,,
A0060,,,,,,,,85,,,,,,,,18,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16,8
A0061,,,,6,14,36,,73,,,,,,,41,,,,,,,,,,,,,,,7,45,28,70,8,60,,,,,,,,,,,,,,
A0062,,,,,,,,73,,,,45,16,8,,,,,,,,,,,,,,,,,,,,,,11,25,6,18,37,15,22,,,,,,,
A0063,,,,7,10,47,,,,,,,,,,,,,,,,,17,7,46,,,,,,,,,,,13,22,7,21,,,,,,,,,,
A0064,,,51,,,,,61,,,,,,,,,,,,,26,65,19,8,63,,,,,3,18,10,,,61,,,,,,,,,,,,34,25,14
