subject,n_M,n_registered,m_rate
PHI,15,678,0.0221238938053097
POL,19,888,0.0213963963963964
MUS,9,434,0.0207373271889401
CSC,12,585,0.0205128205128205
BUS,13,663,0.0196078431372549
CHE,5,256,0.01953125
ENG,8,434,0.0184331797235023
PHY,13,732,0.0177595628415301
LIN,14,792,0.0176767676767677
LAW,7,416,0.0168269230769231
ECO,10,597,0.016750418760469
PSY,17,1076,0.0157992565055762
SOC,12,762,0.015748031496063
HIS,10,720,0.0138888888888889
GEO,3,220,0.0136363636363636
STA,7,621,0.0112721417069243
BIO,2,227,0.00881057268722467
MED,2,237,0.00843881856540084
MAT,2,242,0.00826446280991736
ART,1,386,0.00259067357512953
